model_name,total_params,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,1,20,-1,no_pad_fill,0.0,0.0,12.233248046603224,9.174936034952418,0.0,20.0,63.23409290006384,2.4865969993223094,0.33209935,8.043120781313075
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,2,20,-1,no_pad_fill,0.0,0.0,9.540959539701202,7.155719654775902,0.0,20.0,14.838084222050384,0.7509191981026608,1.415277,26.63402407413977
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,4,20,-1,no_pad_fill,0.0,0.0,12.430938258422106,9.323203693816575,0.0,20.0,17.95431335293688,1.1455275083548928,1.1696354,17.459205347868306
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,1,32,-1,no_pad_fill,0.0,0.0,12.049999603807512,9.037499702855634,0.0,32.0,11.859851154033096,0.33127095095903397,1.77068,96.59766395864038
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,2,32,-1,no_pad_fill,0.0,0.0,11.12803727478742,8.346027956090564,0.0,32.0,11.748315698932856,0.5309073938837936,1.7874902,60.274165266201294
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,4,32,-1,no_pad_fill,0.0,0.0,12.191355621777936,9.143516716333453,0.0,32.0,63.09963522409089,3.4929909272149446,0.33280697,9.161203297345653
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,1,64,-1,no_pad_fill,0.0,0.0,11.54702036118445,8.660265270888337,0.0,64.0,1.2295214419718832,0.3146379048573888,17.079817,203.40842286312682
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,2,64,-1,no_pad_fill,0.0,0.0,10.796965496031197,8.097724122023397,0.0,64.0,1.1730074582155794,0.3936180813267591,17.902699,162.5941567122037
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,4,64,-1,no_pad_fill,0.0,0.0,11.262631454836168,8.446973591127124,0.0,64.0,1.231458269059658,0.4563504205277515,17.052952,140.24310512519412
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,1,128,-1,no_pad_fill,0.0,0.0,7.124413474900959,5.3433101061757196,0.0,128.0,1.1724487240426242,0.11430074716551504,17.911232,1119.85269715383
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,2,128,-1,no_pad_fill,0.0,0.0,8.011914107917256,6.008935580937943,0.0,128.0,1.2342692238744348,0.17805518054652691,17.014116,718.8782691248504
facebook/nllb-moe-54b,524717009,wmt14,1,1,en,fr,1,4,128,-1,no_pad_fill,0.0,0.0,7.739167615273305,5.80437571145498,0.0,128.0,1.221783059882,0.34358773244302865,17.187994,372.5394940322093
