model_name,total_params,use_archer,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,1,20,-1,no_pad_fill,0.15395676056884466,0.05738313632231194,13.904674793374348,13.002758677133569,0.07211538461538462,19.0,4.617972166044638,0.1799127978493312,12.992715,105.60671740490433
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,2,20,-1,no_pad_fill,0.11698184072752622,0.0787972658740275,15.141225733209824,12.993410177110912,0.04807692307692308,19.0,0.0761064579710364,0.048656131300192855,788.3693,390.4954934204703
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,4,20,-1,no_pad_fill,0.1445814736853452,0.08980946181429378,18.472259767137306,15.964222288597405,0.06410256410256411,19.0,0.0684684230946004,0.04750797875519641,876.3164,399.9328217667392
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,8,20,-1,no_pad_fill,0.1445814736853452,0.08980946181429378,18.472259767137306,15.964222288597405,0.06410256410256411,19.0,0.0729083199985325,0.041660742258260865,822.95135,456.0648459457659
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,1,32,-1,no_pad_fill,0.7055687983335529,0.41581881560200606,20.83115468058299,18.81417479637655,0.10301109350237715,31.0,0.0746720449533313,0.025435650248020365,803.51355,1218.761844015083
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,2,32,-1,no_pad_fill,1.0319103012550317,1.0609957577991578,26.706331013751537,23.191731544703643,0.13450753592709427,31.0,0.0743143700528889,0.03002759386905493,807.38086,1032.383751265105
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,4,32,-1,no_pad_fill,0.7545028528171706,0.7179686980802558,24.016992588594015,20.741567419532092,0.10866722460508423,31.0,0.0736375600099563,0.02870607460969153,814.8016,1079.9108001180352
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,8,32,-1,no_pad_fill,0.7640381453935029,0.7849301305042338,25.82293762199695,22.5671720549555,0.11693299876738862,31.0,0.071708190953359,0.034405433715531376,836.72455,901.0204683455541
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,1,64,-1,no_pad_fill,3.6193548408793887,2.9413413393235444,32.577138042978824,29.955950766375807,0.2266811742618195,63.0,0.0726196239702403,0.025756608092388646,826.22296,2445.974243736588
google/switch_16_finetuned,630,True,flores200,1,1,en,fr,32,2,64,-1,no_pad_fill,3.743856839587776,4.104317802831985,34.09074021006574,30.653789317381147,0.23665192048189418,63.0,0.0721898567862808,0.024728606281328953,831.14166,2547.6567212591926
