model_name,total_params,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-base,222903552,flores200,1,1,en,fr,32,1,128,-1,pad_to_max_length,14.534553640368193,20.439332482379193,55.12748508791398,50.386315308104045,0.4430046135621527,84.0,0.0081051541492342,0.006869848565353647,7402.697,12227.34376178725
t5-base,222903552,flores200,1,1,en,fr,32,2,128,-1,pad_to_max_length,14.534553640368193,20.439332482379193,55.12748508791398,50.386315308104045,0.4430046135621527,84.0,0.0118319829925894,0.00712171389228276,5071.001,11794.913593906684
t5-base,222903552,flores200,1,1,en,fr,32,4,128,-1,pad_to_max_length,14.534553640368193,20.439332482379193,55.12748508791398,50.386315308104045,0.4430046135621527,84.0,0.0096422450151294,0.007563584716990538,6222.6167,11105.845064616744
t5-base,222903552,flores200,1,1,en,fr,32,1,128,-1,do_not_pad,14.534553640368193,20.439332482379193,55.12748508791398,50.386315308104045,0.4430046135621527,84.0,0.0093206390738487,0.006792726776828677,6437.3267,12366.167926338576
t5-base,222903552,flores200,1,1,en,fr,32,2,128,-1,do_not_pad,14.534553640368193,20.439332482379193,55.12748508791398,50.386315308104045,0.4430046135621527,84.0,0.0085874600335955,0.0069642669932149254,6986.932,12061.570884895518
t5-base,222903552,flores200,1,1,en,fr,32,4,128,-1,do_not_pad,14.534553640368193,20.439332482379193,55.12748508791398,50.386315308104045,0.4430046135621527,84.0,0.0086386709008365,0.007595570621498136,6945.513,11059.076952329357
t5-base,222903552,flores200,997,997,en,fr,32,1,128,-1,pad_to_max_length,43.837887101006764,47.96379019875806,66.8927497978431,64.91902255427541,0.6666875353172877,44.92276830491475,0.0060425979681894655,0.007675947156725494,5662299.5,5834849.965161335
t5-base,222903552,flores200,997,997,en,fr,32,2,128,-1,pad_to_max_length,44.94129610884721,49.260895016749245,67.75648008134395,65.7779919389552,0.6750114541620554,45.55265797392177,0.005931445040914641,0.007548102957666595,5768409.0,6016876.0620668335
t5-base,222903552,flores200,997,997,en,fr,32,4,128,-1,pad_to_max_length,44.96901129384182,49.50484554735788,67.91259584946407,65.924518199335,0.6772730032361394,45.72517552657974,0.0061164522194303,0.00885300708688617,5593929.0,5149436.74534372
t5-base,222903552,flores200,997,997,en,fr,32,1,128,-1,do_not_pad,43.837887101006764,47.96379019875806,66.8927497978431,64.91902255427541,0.6666875353172877,44.92276830491475,0.006518818438053088,0.007819738418767458,5248650.5,5727557.317327688
t5-base,222903552,flores200,997,997,en,fr,32,2,128,-1,do_not_pad,44.94129610884721,49.260895016749245,67.75648008134395,65.7779919389552,0.6750114541620554,45.55265797392177,0.006202851916896128,0.007708386003823007,5516011.5,5891765.147396062
t5-base,222903552,flores200,997,997,en,fr,32,4,128,-1,do_not_pad,44.96901129384182,49.50484554735788,67.91259584946407,65.924518199335,0.6772730032361394,45.72517552657974,0.0061507088685174875,0.008729677223077163,5562773.5,5222186.208613391
t5-base,222903552,flores200,997,199,en,fr,32,1,128,15,pad_to_max_length,46.08766785487238,50.18782200189021,67.26334723761201,65.65465745781482,0.6777936905995227,28.547738693467338,0.006228080152400843,0.007768566276354198,750793.2,731280.3673042876
t5-base,222903552,flores200,997,199,en,fr,32,2,128,15,pad_to_max_length,46.7006983456928,51.40376657493431,68.11831743862213,66.41935839613346,0.6813907026113213,28.673366834170853,0.006132656009867743,0.007601886756249662,762475.56,750603.1309015468
t5-base,222903552,flores200,997,199,en,fr,32,4,128,15,pad_to_max_length,47.277471774415936,51.98412344639673,68.47845852421474,66.84441918373048,0.6876720777603607,28.79396984924623,0.006224989891052199,0.007849645097457726,751165.94,729969.3080207895
t5-base,222903552,flores200,997,199,en,fr,32,1,128,15,do_not_pad,46.08766785487238,50.18782200189021,67.26334723761201,65.65465745781482,0.6777936905995227,28.547738693467338,0.005984208413532757,0.00748530188066065,781389.9,758954.0262467808
t5-base,222903552,flores200,997,199,en,fr,32,2,128,15,do_not_pad,46.7006983456928,51.40376657493431,68.11831743862213,66.41935839613346,0.6813907026113213,28.673366834170853,0.0061936408746987,0.007623296296558555,754967.94,748495.1099927606
t5-base,222903552,flores200,997,199,en,fr,32,4,128,15,do_not_pad,47.277471774415936,51.98412344639673,68.47845852421474,66.84441918373048,0.6876720777603607,28.79396984924623,0.006009183059047329,0.007936511130185014,778142.4,721979.7094729738
t5-base,222903552,flores200,997,898,en,fr,32,1,128,30,pad_to_max_length,43.768409425060085,47.95183934103098,66.88139202443591,64.91389539318651,0.6673827265182749,42.0,0.005686579191864514,0.0074519993958052115,5115026.0,5061192.036761386
t5-base,222903552,flores200,997,898,en,fr,32,2,128,30,pad_to_max_length,44.92853881715155,49.290299258543904,67.72229048517968,65.74277280975038,0.6756259007080301,42.577951002227174,0.0060211907718972415,0.007477628039585815,4830772.0,5113252.464228995
t5-base,222903552,flores200,997,898,en,fr,32,4,128,30,pad_to_max_length,45.035244221237434,49.62612812926445,67.98962851060728,66.00498904579841,0.6788652201959168,42.73051224944321,0.006321195978671255,0.00824848241324088,4601502.5,4652007.251467655
t5-base,222903552,flores200,997,898,en,fr,32,1,128,30,do_not_pad,43.768409425060085,47.95183934103098,66.88139202443591,64.91389539318651,0.6673827265182749,42.0,0.006302110312891873,0.007793815794272347,4615438.0,4839221.376994486
t5-base,222903552,flores200,997,898,en,fr,32,2,128,30,do_not_pad,44.92853881715155,49.290299258543904,67.72229048517968,65.74277280975038,0.6756259007080301,42.577951002227174,0.006250400874956368,0.007603947462952104,4653621.5,5028309.333578155
t5-base,222903552,flores200,997,898,en,fr,32,4,128,30,do_not_pad,45.035244221237434,49.62612812926445,67.98962851060728,66.00498904579841,0.6788652201959168,42.73051224944321,0.0065714284006891,0.008158474594993862,4426283.0,4703330.2063041935
