model_name,total_params,dataset_name,dataset_size,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-base,222903552,wmt14,1,en,fr,32,1,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0086795149836689,0.006743787787854626,"tensor(2189.0625, device='cuda:0')",2817.4077532834694
t5-base,222903552,wmt14,1,en,fr,32,2,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0054310669656842,0.006854019519364923,"tensor(3498.3918, device='cuda:0')",2772.095986350575
t5-base,222903552,wmt14,1,en,fr,32,4,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0083603621460497,0.0073624343230304,"tensor(2272.6289, device='cuda:0')",2580.668182066654
t5-base,222903552,wmt14,1,en,fr,32,8,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0077150440774858,0.0073772433997046725,"tensor(2462.7207, device='cuda:0')",2575.487749361857
t5-base,222903552,wmt14,1,en,fr,32,16,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.008878877852112,0.007449325425550296,"tensor(2139.9102, device='cuda:0')",2550.566516376405
t5-base,222903552,wmt14,1,en,fr,32,32,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0087977759540081,0.007274398552253803,"tensor(2159.6367, device='cuda:0')",2611.8997829880095
t5-base,222903552,wmt14,1,en,fr,32,64,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0092443919274955,0.007453468714461248,"tensor(2055.3000, device='cuda:0')",2549.148688735505
t5-base,222903552,wmt14,1,en,fr,32,1,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0097761380020529,0.006668481975793789,"tensor(1943.5078, device='cuda:0')",2849.2241666047717
t5-base,222903552,wmt14,1,en,fr,32,2,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0090162698179483,0.0067316940562291185,"tensor(2107.3018, device='cuda:0')",2822.4693281208324
t5-base,222903552,wmt14,1,en,fr,32,4,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.005246773827821,0.0070274697553196494,"tensor(3621.2729, device='cuda:0')",2703.6758124241505
