model_name,total_params,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-large,737668096,flores200,1,1,en,fr,32,1,128,-1,pad_to_max_length,14.534553640368193,20.589593960622334,53.941503316693705,49.498880762945305,0.4243768882175227,87.0,0.0166193861514329,0.01246716235175553,3610.2415,6978.332161347793
t5-large,737668096,flores200,1,1,en,fr,32,2,128,-1,pad_to_max_length,14.534553640368193,20.589593960622334,53.941503316693705,49.498880762945305,0.4243768882175227,87.0,0.0118614439852535,0.013890362503430332,5058.4062,6263.335458560904
t5-large,737668096,flores200,1,1,en,fr,32,4,128,-1,pad_to_max_length,14.534553640368193,20.589593960622334,53.941503316693705,49.498880762945305,0.4243768882175227,87.0,0.0144037459976971,0.013995547150261651,4165.583,6216.262863175986
t5-large,737668096,flores200,1,1,en,fr,32,1,128,-1,do_not_pad,14.534553640368193,20.589593960622334,53.941503316693705,49.498880762945305,0.4243768882175227,87.0,0.0139374209102243,0.012380821857836866,4304.957,7026.997157295367
t5-large,737668096,flores200,1,1,en,fr,32,2,128,-1,do_not_pad,14.534553640368193,20.589593960622334,53.941503316693705,49.498880762945305,0.4243768882175227,87.0,0.0122206471860408,0.013922007217347066,4909.7236,6249.098900882372
t5-large,737668096,flores200,1,1,en,fr,32,4,128,-1,do_not_pad,14.534553640368193,20.589593960622334,53.941503316693705,49.498880762945305,0.4243768882175227,87.0,0.013574626063928,0.014490066083251556,4420.011,6004.113404324606
t5-large,737668096,flores200,997,997,en,fr,32,1,128,-1,pad_to_max_length,44.50250079509567,48.606893716864015,67.34438685538008,65.40396787563904,0.673386973495599,44.85255767301906,0.011301273363642334,0.014798834303193452,3027535.0,3021724.487471981
t5-large,737668096,flores200,997,997,en,fr,32,2,128,-1,pad_to_max_length,45.50959402370041,49.88091536475034,68.26457569456535,66.29024139549536,0.6811905468147262,45.38716148445336,0.011126471028546752,0.015137800059055084,3075099.0,2989271.8772521964
t5-large,737668096,flores200,997,997,en,fr,32,4,128,-1,pad_to_max_length,46.134081653520184,50.66749574386947,68.6946407282072,66.72353262985956,0.6844103832412454,45.785356068204614,0.011247743605053928,0.023785531848997503,3041943.2,1919149.8550377777
t5-large,737668096,flores200,997,997,en,fr,32,1,128,-1,do_not_pad,44.50250079509567,48.606893716864015,67.34438685538008,65.40396787563904,0.673386973495599,44.85255767301906,0.011387894024664953,0.014756025169509246,3004506.2,3030490.9002460875
t5-large,737668096,flores200,997,997,en,fr,32,2,128,-1,do_not_pad,45.50959402370041,49.88091536475034,68.26457569456535,66.29024139549536,0.6811905468147262,45.38716148445336,0.011241768617764996,0.015269292328685059,3043560.2,2963529.6139422897
t5-large,737668096,flores200,997,997,en,fr,32,4,128,-1,do_not_pad,46.134081653520184,50.66749574386947,68.6946407282072,66.72353262985956,0.6844103832412454,45.785356068204614,0.011286460328847118,0.02375142892697361,3031508.5,1921905.4205264791
t5-large,737668096,flores200,997,199,en,fr,32,1,128,15,pad_to_max_length,46.639146822207756,50.78609536593034,68.32729183603699,66.70094695587122,0.687269572088251,28.21608040201005,0.010720418865925428,0.014812454356854785,436177.0,379072.8980306722
t5-large,737668096,flores200,997,199,en,fr,32,2,128,15,pad_to_max_length,46.7345307642295,51.37110533486666,68.46933710403783,66.72957196892484,0.684878992355584,28.688442211055275,0.010895089911563014,0.015006503482689086,429184.16,380435.0564797242
t5-large,737668096,flores200,997,199,en,fr,32,4,128,15,pad_to_max_length,47.09924719524557,51.782019230367254,68.82459037378804,67.05640120244809,0.6855188156579568,28.849246231155778,0.012196810317358742,0.019412145304568924,383378.9,295742.68634022505
t5-large,737668096,flores200,997,199,en,fr,32,1,128,15,do_not_pad,46.639146822207756,50.78609536593034,68.32729183603699,66.70094695587122,0.687269572088251,28.21608040201005,0.0107830897904932,0.014987933855368951,433641.97,374634.69309271104
t5-large,737668096,flores200,997,199,en,fr,32,2,128,15,do_not_pad,46.7345307642295,51.37110533486666,68.46933710403783,66.72957196892484,0.684878992355584,28.688442211055275,0.011110273821811527,0.014792866866692895,420871.72,385929.24897162337
t5-large,737668096,flores200,997,199,en,fr,32,4,128,15,do_not_pad,47.09924719524557,51.782019230367254,68.82459037378804,67.05640120244809,0.6855188156579568,28.849246231155778,0.011071671997862171,0.019855129619322752,422339.1,289144.4231324954
t5-large,737668096,flores200,997,898,en,fr,32,1,128,30,pad_to_max_length,44.59959743733766,48.71430167248469,67.43133807017867,65.49584822201744,0.6749880732200007,41.89977728285078,0.011108986230502816,0.015179683117284612,2618330.8,2478707.8695441606
t5-large,737668096,flores200,997,898,en,fr,32,2,128,30,pad_to_max_length,45.64750013096179,50.05566220417292,68.37203489205011,66.39676184765464,0.6828372288041695,42.41314031180401,0.01102526778162549,0.014539492662999576,2638212.5,2619554.9516610466
t5-large,737668096,flores200,997,898,en,fr,32,4,128,30,pad_to_max_length,46.11403227854198,50.73929670313136,68.75911595658195,66.7806995915322,0.6856884589676658,42.83630289532294,0.011486176666321882,0.023018565579322272,2532348.2,1671129.326779387
t5-large,737668096,flores200,997,898,en,fr,32,1,128,30,do_not_pad,44.59959743733766,48.71430167248469,67.43133807017867,65.49584822201744,0.6749880732200007,41.89977728285078,0.010896427083182387,0.01464831140324151,2669407.2,2568623.711240449
t5-large,737668096,flores200,997,898,en,fr,32,2,128,30,do_not_pad,45.64750013096179,50.05566220417292,68.37203489205011,66.39676184765464,0.6828372288041695,42.41314031180401,0.010717245276439245,0.014815163532203177,2714037.0,2570811.987138157
t5-large,737668096,flores200,997,898,en,fr,32,4,128,30,do_not_pad,46.11403227854198,50.73929670313136,68.75911595658195,66.7806995915322,0.6856884589676658,42.83630289532294,0.011292097263102338,0.022709440056627374,2575872.2,1693877.0794911804
