model_name,total_params,dataset_name,dataset_size,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-large,737668096,wmt14,1,en,fr,32,1,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139778680168092,0.012995479750986126,"tensor(1359.2917, device='cuda:0')",1462.0468319808076
t5-large,737668096,wmt14,1,en,fr,32,2,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139077769126743,0.01410163654945785,"tensor(1366.1421, device='cuda:0')",1347.3613458524765
t5-large,737668096,wmt14,1,en,fr,32,4,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139068358112126,0.0140008961432613,"tensor(1366.2345, device='cuda:0')",1357.055991672704
t5-large,737668096,wmt14,1,en,fr,32,8,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0137510639615356,0.014396663469431715,"tensor(1381.7113, device='cuda:0')",1319.7502352084914
t5-large,737668096,wmt14,1,en,fr,32,16,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.013811653945595,0.014180375559424769,"tensor(1375.6499, device='cuda:0')",1339.8798868462932
t5-large,737668096,wmt14,1,en,fr,32,32,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0143987510818988,0.01395712468935091,"tensor(1319.5590, device='cuda:0')",1361.3119050585494
t5-large,737668096,wmt14,1,en,fr,32,64,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0131225059740245,0.014443777707548624,"tensor(1447.8942, device='cuda:0')",1315.4453346419336
t5-large,737668096,wmt14,1,en,fr,32,1,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0126660109963268,0.012950597906877285,"tensor(1500.0776, device='cuda:0')",1467.1137299313602
t5-large,737668096,wmt14,1,en,fr,32,2,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0130160450935363,0.01439558620331804,"tensor(1459.7368, device='cuda:0')",1319.8489961888936
t5-large,737668096,wmt14,1,en,fr,32,4,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0127316419966518,0.014175833505578283,"tensor(1492.3448, device='cuda:0')",1340.3091954009883
t5-large,737668096,wmt14,1,en,fr,32,8,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139683559536933,0.01432053068525746,"tensor(1360.2173, device='cuda:0')",1326.7664737843763
t5-large,737668096,wmt14,1,en,fr,32,16,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0137008929159492,0.014505365429530714,"tensor(1386.7710, device='cuda:0')",1309.8601405324746
t5-large,737668096,wmt14,1,en,fr,32,32,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0138060541357845,0.014169019049681349,"tensor(1376.2079, device='cuda:0')",1340.953804450372
t5-large,737668096,wmt14,1,en,fr,32,64,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.01283346186392,0.014350594907927349,"tensor(1480.5046, device='cuda:0')",1323.9869233228997
t5-large,737668096,wmt14,1,en,fr,32,1,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0144063001498579,0.013009969978348157,"tensor(1318.8674, device='cuda:0')",1460.4184353707772
t5-large,737668096,wmt14,1,en,fr,32,2,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139942259993404,0.014141357352491422,"tensor(1357.7028, device='cuda:0')",1343.5768240912591
t5-large,737668096,wmt14,1,en,fr,32,4,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0133913687895983,0.01416890783002595,"tensor(1418.8243, device='cuda:0')",1340.9643303442394
t5-large,737668096,wmt14,1,en,fr,32,8,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0133132669143378,0.013839579229666377,"tensor(1427.1478, device='cuda:0')",1372.8741087208634
t5-large,737668096,wmt14,1,en,fr,32,16,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0143753490410745,0.013925067371350073,"tensor(1321.7070, device='cuda:0')",1364.445822293921
t5-large,737668096,wmt14,1,en,fr,32,32,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0121758840978145,0.0136839773546418,"tensor(1560.4617, device='cuda:0')",1388.4851975113017
