model_name,total_params,dataset_name,dataset_size,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-small,60506624,wmt14,1,en,fr,32,1,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.4379897799808532,0.003583043482840795,"tensor(43.3800, device='cuda:0')",5302.754513304416
t5-small,60506624,wmt14,1,en,fr,32,2,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0060474451165646,0.003663875907659475,"tensor(3141.8230, device='cuda:0')",5185.765151128553
t5-small,60506624,wmt14,1,en,fr,32,4,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0057632008101791,0.003810463068277887,"tensor(3296.7793, device='cuda:0')",4986.270607941339
t5-small,60506624,wmt14,1,en,fr,32,8,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0055274488404393,0.003982323231985348,"tensor(3437.3904, device='cuda:0')",4771.084337754205
t5-small,60506624,wmt14,1,en,fr,32,16,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0053428960964083,0.0049257185589521605,"tensor(3556.1238, device='cuda:0')",3857.3052383329505
t5-small,60506624,wmt14,1,en,fr,32,32,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0056593290064483,0.003966220980510064,"tensor(3357.2886, device='cuda:0')",4790.454211544351
t5-small,60506624,wmt14,1,en,fr,32,64,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.006047393893823,0.003872289994938452,"tensor(3141.8494, device='cuda:0')",4906.657307390531
t5-small,60506624,wmt14,1,en,fr,32,1,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0060089749749749,0.003568720011236584,"tensor(3161.9370, device='cuda:0')",5324.037733466342
t5-small,60506624,wmt14,1,en,fr,32,2,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.005078932037577,0.0038078338606282653,"tensor(3740.9441, device='cuda:0')",4989.713494712486
t5-small,60506624,wmt14,1,en,fr,32,4,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0060196351259946,0.0036268078863782305,"tensor(3156.3376, device='cuda:0')",5238.766594547583
t5-small,60506624,wmt14,1,en,fr,32,8,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0054925268050283,0.003881138830405174,"tensor(3459.2458, device='cuda:0')",4895.470332355126
t5-small,60506624,wmt14,1,en,fr,32,16,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0060610838700085,0.003920103106647676,"tensor(3134.7529, device='cuda:0')",4846.811291208123
t5-small,60506624,wmt14,1,en,fr,32,32,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0059559240471571,0.0040310509409755115,"tensor(3190.1013, device='cuda:0')",4713.411038016307
t5-small,60506624,wmt14,1,en,fr,32,64,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0056662699207663,0.0038643447354573483,"tensor(3353.1758, device='cuda:0')",4916.745606484132
t5-small,60506624,wmt14,1,en,fr,32,1,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0048777400515973,0.0036181256322091737,"tensor(3895.2463, device='cuda:0')",5251.337828310534
t5-small,60506624,wmt14,1,en,fr,32,2,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0060428248252719,0.003695965581573485,"tensor(3144.2249, device='cuda:0')",5140.7405130410125
