model_name,total_params,dataset_name,dataset_size,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-base,222903552,wmt14,1,en,fr,32,1,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0087271770462393,0.006821281852592701,"tensor(2177.1072, device='cuda:0')",2785.4002239737815
t5-base,222903552,wmt14,1,en,fr,32,2,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.010073693934828,0.006848007810979355,"tensor(1886.1007, device='cuda:0')",2774.5295455909754
t5-base,222903552,wmt14,1,en,fr,32,4,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0087364078499376,0.007343684122050983,"tensor(2174.8069, device='cuda:0')",2587.257251840181
t5-base,222903552,wmt14,1,en,fr,32,8,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0084985648281872,0.007457121349447786,"tensor(2235.6716, device='cuda:0')",2547.900068892802
t5-base,222903552,wmt14,1,en,fr,32,16,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0095031969249248,0.007547463411465236,"tensor(1999.3271, device='cuda:0')",2517.402067976559
t5-base,222903552,wmt14,1,en,fr,32,32,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0091646630316972,0.007386717703193376,"tensor(2073.1804, device='cuda:0')",2572.1843941302977
t5-base,222903552,wmt14,1,en,fr,32,64,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0087283079046756,0.007354797510844089,"tensor(2176.8252, device='cuda:0')",2583.3478042034394
t5-base,222903552,wmt14,1,en,fr,32,1,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.00983996107243,0.006957690746180284,"tensor(1930.9020, device='cuda:0')",2730.7911048548467
t5-base,222903552,wmt14,1,en,fr,32,2,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0092832439113408,0.006872662745246777,"tensor(2046.6985, device='cuda:0')",2764.576220932803
t5-base,222903552,wmt14,1,en,fr,32,4,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0094455569051206,0.0074441116303205,"tensor(2011.5278, device='cuda:0')",2552.3529124162224
t5-base,222903552,wmt14,1,en,fr,32,8,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0084157430101186,0.0075329071524637085,"tensor(2257.6736, device='cuda:0')",2522.2665851902702
t5-base,222903552,wmt14,1,en,fr,32,16,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0092110037803649,0.00731962813995774,"tensor(2062.7502, device='cuda:0')",2595.7602813562735
t5-base,222903552,wmt14,1,en,fr,32,32,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0080942588392645,0.007043460272252516,"tensor(2347.3428, device='cuda:0')",2697.5377535456378
t5-base,222903552,wmt14,1,en,fr,32,64,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0084626239258795,0.00700008676870273,"tensor(2245.1665, device='cuda:0')",2714.2520696955758
t5-base,222903552,wmt14,1,en,fr,32,1,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0102875570300966,0.006880473615111432,"tensor(1846.8914, device='cuda:0')",2761.4378112388545
t5-base,222903552,wmt14,1,en,fr,32,2,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0089656000491231,0.006646456302736231,"tensor(2119.2112, device='cuda:0')",2858.666202646669
t5-base,222903552,wmt14,1,en,fr,32,4,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0081776801962405,0.0071239630077880416,"tensor(2323.3975, device='cuda:0')",2667.0548372063226
t5-base,222903552,wmt14,1,en,fr,32,8,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.008917859988287,0.007193259820765346,"tensor(2130.5562, device='cuda:0')",2641.3615625493208
t5-base,222903552,wmt14,1,en,fr,32,16,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009169072844088,0.00717107463628048,"tensor(2072.1833, device='cuda:0')",2649.5331541905402
t5-base,222903552,wmt14,1,en,fr,32,32,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0091878119856119,0.007047312930226284,"tensor(2067.9570, device='cuda:0')",2696.063050997499
t5-base,222903552,wmt14,1,en,fr,32,64,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009294023970142,0.007453464687353437,"tensor(2044.3245, device='cuda:0')",2549.1500660408287
t5-base,222903552,wmt14,1,en,fr,32,1,512,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0091401620302349,0.006832545169776152,"tensor(2078.7378, device='cuda:0')",2780.8085461398387
t5-base,222903552,wmt14,1,en,fr,32,2,512,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.008883659960702,0.00683718940920445,"tensor(2138.7583, device='cuda:0')",2778.9196499985173
t5-base,222903552,wmt14,1,en,fr,32,4,512,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0088619589805603,0.007344140194949055,"tensor(2143.9954, device='cuda:0')",2587.096582533553
t5-base,222903552,wmt14,1,en,fr,32,8,512,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.006556631065905,0.00741287560032844,"tensor(2897.8296, device='cuda:0')",2563.1078982572126
t5-base,222903552,wmt14,1,en,fr,32,16,512,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0088878199458122,0.007431167792528812,"tensor(2137.7571, device='cuda:0')",2556.7986796237224
t5-base,222903552,wmt14,1,en,fr,32,32,512,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0083196719642728,0.007077382523566425,"tensor(2283.7439, device='cuda:0')",2684.6083190690033
t5-base,222903552,wmt14,1,en,fr,32,64,512,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0100642631296068,0.0072976932343508955,"tensor(1887.8680, device='cuda:0')",2603.5624395069526
t5-base,222903552,wmt14,1,en,fr,32,1,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0086399801075458,0.006851239172790742,"tensor(2199.0791, device='cuda:0')",2773.2209489134875
t5-base,222903552,wmt14,1,en,fr,32,2,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.00965896761044855,0.006878084661862343,"tensor(1967.0840, device='cuda:0')",2762.3969366575766
t5-base,222903552,wmt14,1,en,fr,32,4,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.00956031656824045,0.007351275692185843,"tensor(1987.3818, device='cuda:0')",2584.585423751194
t5-base,222903552,wmt14,1,en,fr,32,8,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.011213456979021399,0.007434063162442925,"tensor(1694.3927, device='cuda:0')",2555.802874528761
t5-base,222903552,wmt14,1,en,fr,32,16,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009517310420051151,0.00746981108095492,"tensor(1996.3623, device='cuda:0')",2543.571690647241
t5-base,222903552,wmt14,1,en,fr,32,32,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0101746785221621,0.007315834504552135,"tensor(1867.3809, device='cuda:0')",2597.1063161936786
t5-base,222903552,wmt14,1,en,fr,32,64,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0091264409711584,0.007335106911206638,"tensor(2081.8630, device='cuda:0')",2590.2826270973146
t5-base,222903552,wmt14,1,en,fr,32,1,128,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.00948078546207395,0.00660603778363249,"tensor(2004.0533, device='cuda:0')",2876.1567254543297
t5-base,222903552,wmt14,1,en,fr,32,2,128,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.00970683747436845,0.006717222938525696,"tensor(1957.3833, device='cuda:0')",2828.5498596493126
t5-base,222903552,wmt14,1,en,fr,32,4,128,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.00990323943551625,0.007139708936764721,"tensor(1918.5642, device='cuda:0')",2661.172908907073
t5-base,222903552,wmt14,1,en,fr,32,8,128,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009224542533047449,0.0072133419770662255,"tensor(2059.7229, device='cuda:0')",2634.007934242927
t5-base,222903552,wmt14,1,en,fr,32,16,128,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009842613362707149,0.0071747458120807565,"tensor(1930.3816, device='cuda:0')",2648.1774403781683
t5-base,222903552,wmt14,1,en,fr,32,32,128,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009369417559355449,0.007177852629683866,"tensor(2027.8743, device='cuda:0')",2647.0312195357537
t5-base,222903552,wmt14,1,en,fr,32,64,128,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0111552599119022,0.0073280876278186855,"tensor(1703.2324, device='cuda:0')",2592.763755699744
t5-base,222903552,wmt14,1,en,fr,32,1,256,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.006319307489320599,0.006741759716533076,"tensor(3006.6587, device='cuda:0')",2818.255292220749
t5-base,222903552,wmt14,1,en,fr,32,2,256,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.007089896593242851,0.006760223953857631,"tensor(2679.8696, device='cuda:0')",2810.5577758497047
t5-base,222903552,wmt14,1,en,fr,32,4,256,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0096564564155414,0.0073051740764639795,"tensor(1967.5955, device='cuda:0')",2600.896269017702
t5-base,222903552,wmt14,1,en,fr,32,8,256,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.005435605882667,0.007928570452019187,"tensor(3495.4702, device='cuda:0')",2396.3966915575843
t5-base,222903552,wmt14,1,en,fr,32,16,256,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009023479418829,0.00751129024662073,"tensor(2105.6179, device='cuda:0')",2529.5254711463117
t5-base,222903552,wmt14,1,en,fr,32,32,256,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.008872202481143149,0.0073044286528601695,"tensor(2141.5200, device='cuda:0')",2601.1616928533126
t5-base,222903552,wmt14,1,en,fr,32,64,256,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009905709535814749,0.007333606434123607,"tensor(1918.0856, device='cuda:0')",2590.812606413146
