model_name,total_params,dataset_name,dataset_size,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-large,737668096,wmt14,1,en,fr,32,1,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0146822091192007,0.013069994747638662,"tensor(1294.0833, device='cuda:0')",1453.7113722584093
t5-large,737668096,wmt14,1,en,fr,32,2,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.012615435058251,0.014133600913919464,"tensor(1506.0916, device='cuda:0')",1344.3141712942995
t5-large,737668096,wmt14,1,en,fr,32,4,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0133890940342098,0.014414228138048149,"tensor(1419.0654, device='cuda:0')",1318.1420342478925
t5-large,737668096,wmt14,1,en,fr,32,8,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0140463910065591,0.014116860957900846,"tensor(1352.6606, device='cuda:0')",1345.908276398103
t5-large,737668096,wmt14,1,en,fr,32,16,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0130069497972726,0.014023206154392474,"tensor(1460.7574, device='cuda:0')",1354.8970036391179
t5-large,737668096,wmt14,1,en,fr,32,32,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.011271578958258,0.013793562549044847,"tensor(1685.6555, device='cuda:0')",1377.454151706129
t5-large,737668096,wmt14,1,en,fr,32,64,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0141290838364511,0.014171065547718405,"tensor(1344.7440, device='cuda:0')",1340.7601521580057
t5-large,737668096,wmt14,1,en,fr,32,1,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0128017470706254,0.012869399702666573,"tensor(1484.1725, device='cuda:0')",1476.3703388638362
t5-large,737668096,wmt14,1,en,fr,32,2,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0167009739670902,0.013990458857733706,"tensor(1137.6582, device='cuda:0')",1358.0683945542714
t5-large,737668096,wmt14,1,en,fr,32,4,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.009850560920313,0.014134291152004106,"tensor(1928.8242, device='cuda:0')",1344.248522665106
t5-large,737668096,wmt14,1,en,fr,32,8,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0141394229140132,0.014401136548258314,"tensor(1343.7606, device='cuda:0')",1319.3403129211963
t5-large,737668096,wmt14,1,en,fr,32,16,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0132890730164945,0.014531251667490681,"tensor(1429.7461, device='cuda:0')",1307.5267316790614
t5-large,737668096,wmt14,1,en,fr,32,32,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0127750979736447,0.01414150145390753,"tensor(1487.2683, device='cuda:0')",1343.5631330893782
t5-large,737668096,wmt14,1,en,fr,32,64,128,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0125739541836082,0.014326646986703984,"tensor(1511.0601, device='cuda:0')",1326.200053483078
t5-large,737668096,wmt14,1,en,fr,32,1,256,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0131537418346852,0.013217432988121275,"tensor(1444.4559, device='cuda:0')",1437.4954665611403
