model_name,total_params,dataset_name,dataset_size,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-small,60506624,wmt14,1,en,fr,32,64,512,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.4451462859287858,0.004049425401414385,"tensor(42.6826, device='cuda:0')",4692.023711157556
t5-small,60506624,wmt14,1,en,fr,32,64,512,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.4449896640144288,0.004023817885253126,"tensor(42.6976, device='cuda:0')",4721.883679088217
t5-small,60506624,wmt14,1,en,fr,32,64,512,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.4486054030712694,0.004140185942459385,"tensor(42.3535, device='cuda:0')",4589.165864544111
t5-small,60506624,wmt14,1,en,fr,32,64,64,10,do_not_pad,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0057573709636926,0.004069230113937308,"tensor(3300.1172, device='cuda:0')",4669.187897465934
t5-small,60506624,wmt14,1,en,fr,32,1,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.4357544500380754,0.0036090386810859157,"tensor(43.6025, device='cuda:0')",5264.559811889611
t5-small,60506624,wmt14,1,en,fr,32,2,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0061318150255829,0.0037096553365699504,"tensor(3098.5933, device='cuda:0')",5121.769619052514
t5-small,60506624,wmt14,1,en,fr,32,4,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.00603594398126,0.003724375182924648,"tensor(3147.8091, device='cuda:0')",5101.526851298539
t5-small,60506624,wmt14,1,en,fr,32,8,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0056919010821729,0.003979171484546765,"tensor(3338.0764, device='cuda:0')",4774.863328657005
t5-small,60506624,wmt14,1,en,fr,32,16,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0058747318107634,0.004043576922267636,"tensor(3234.1904, device='cuda:0')",4698.810079602693
t5-small,60506624,wmt14,1,en,fr,32,32,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0059489530976861,0.003924024952575512,"tensor(3193.8396, device='cuda:0')",4841.967171368126
t5-small,60506624,wmt14,1,en,fr,32,64,64,10,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0061493760440498,0.003930332897989785,"tensor(3089.7446, device='cuda:0')",4834.19610835453
