model_name,total_params,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,1,128,-1,pad_to_max_length,28.628810138346285,31.66367255110936,57.35035591553086,55.01694705332264,0.5766593189737029,42.30233333333333,0.009318971768655622,0.005710852922787733,10922450.0,22222074.6560657
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,2,128,-1,pad_to_max_length,28.65913357299326,31.620248611605163,57.70414246556569,55.35942416142346,0.5815069195568738,43.045,0.005538967096226918,0.00568940558589439,18376350.0,22697450.208183676
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,4,128,-1,pad_to_max_length,28.678043691490817,31.588079533550697,57.92754654502935,55.56902802817481,0.5842630678345492,43.587666666666664,0.012640600320585813,0.005827878213217332,8052307.5,22437497.012795527
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,8,128,-1,pad_to_max_length,28.655414162222954,31.522071720854417,57.993018349781636,55.633290508191415,0.5846951400523619,43.88033333333333,0.014381952046297754,0.006398485222707798,7077343.0,20573775.732546017
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,1,128,-1,do_not_pad,28.628810138346285,31.66367255110936,57.35035591553086,55.01694705332264,0.5766593189737029,42.30233333333333,0.005517208183362555,0.005650539809905991,18448824.0,22459270.135132696
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,2,128,-1,do_not_pad,28.65913357299326,31.620248611605163,57.70414246556569,55.35942416142346,0.5815069195568738,43.045,0.005600313534662873,0.0057437032328712615,18175054.0,22482881.646976348
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,4,128,-1,do_not_pad,28.678043691490817,31.588079533550697,57.92754654502935,55.56902802817481,0.5842630678345492,43.587666666666664,0.012639055040942336,0.005823160557712429,8053292.5,22455674.83568905
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,3000,en,fr,32,8,128,-1,do_not_pad,28.655414162222954,31.522071720854417,57.993018349781636,55.633290508191415,0.5846951400523619,43.88033333333333,0.014323499155270404,0.006311601920281772,7106225.0,20856987.126672763
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,1,128,15,pad_to_max_length,2.96163757562413,5.349683202334954,31.259236965612708,28.481446529072397,0.35522824781183543,15.944444444444445,0.006566904019564349,0.005715851536175809,61672.9,100422.48234880411
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,2,128,15,pad_to_max_length,2.878275917981593,5.659335595399912,31.885681943980014,28.980132959281267,0.3582435993206332,16.444444444444443,0.0073139830492436496,0.005784900189610152,55373.387,102335.38705875153
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,4,128,15,pad_to_max_length,2.8581548698195816,5.755668826814643,34.44468914761338,30.9666423101341,0.3760605588372259,16.72222222222222,0.00636618153657755,0.005961104166797422,63617.414,100988.00208073229
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,8,128,15,pad_to_max_length,2.8855194774605977,5.963701408329459,35.77471555470998,32.06140057642591,0.38870341002174374,16.75,0.00646888802293685,0.006004170700907663,62607.36,100430.18928639774
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,1,128,15,do_not_pad,2.96163757562413,5.349683202334954,31.259236965612708,28.481446529072397,0.35522824781183543,15.944444444444445,0.00652912794612345,0.005816037889518211,62029.727,98692.6170193071
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,2,128,15,do_not_pad,2.878275917981593,5.659335595399912,31.885681943980014,28.980132959281267,0.3582435993206332,16.444444444444443,0.00657919899094845,0.005890448280842923,61557.645,100501.68879766224
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,4,128,15,do_not_pad,2.8581548698195816,5.755668826814643,34.44468914761338,30.9666423101341,0.3760605588372259,16.72222222222222,0.00623921898659315,0.005904468578389895,64911.973,101956.67772766112
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,36,en,fr,32,8,128,15,do_not_pad,2.8855194774605977,5.963701408329459,35.77471555470998,32.06140057642591,0.38870341002174374,16.75,0.0066736855078488,0.005800252992452793,60686.113,103960.9825269027
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,1,128,30,pad_to_max_length,12.525848068074357,13.9884532461169,44.725258930384285,42.51092300310728,0.4935358269570317,18.24858757062147,0.0051603873337929,0.005618798445545453,475351.9,574856.0001401586
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,2,128,30,pad_to_max_length,11.796226444120379,13.482487496095391,44.53979684625015,42.19999524471037,0.49482441330074795,19.07909604519774,0.0053789830999448505,0.005842578995629703,456034.16,577998.1755533
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,4,128,30,pad_to_max_length,11.997046876275785,13.681738911324858,44.856242525754354,42.45312407988014,0.49719828158597246,19.23728813559322,0.005266931800482134,0.005898157863703041,465736.06,577298.8920751332
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,8,128,30,pad_to_max_length,11.905204835787528,13.576173219996091,44.851428684820284,42.41367038137175,0.49864999251552616,19.338983050847457,0.0061373600037768,0.006102785216701487,399683.25,560891.4419324932
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,1,128,30,do_not_pad,12.525848068074357,13.9884532461169,44.725258930384285,42.51092300310728,0.4935358269570317,18.24858757062147,0.005376243653396717,0.005770448438979481,456266.53,559748.5246001494
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,2,128,30,do_not_pad,11.796226444120379,13.482487496095391,44.53979684625015,42.19999524471037,0.49482441330074795,19.07909604519774,0.005609387881122499,0.005812476185383225,437302.6,580991.6277149185
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,4,128,30,do_not_pad,11.997046876275785,13.681738911324858,44.856242525754354,42.45312407988014,0.49719828158597246,19.23728813559322,0.005260853562504033,0.005665881311870128,466274.16,600965.6419852037
facebook/nllb-200-distilled-600M,615073792,wmt14,3000,177,en,fr,32,8,128,30,do_not_pad,11.905204835787528,13.576173219996091,44.851428684820284,42.41367038137175,0.49864999251552616,19.338983050847457,0.006195063935592733,0.005911983928123181,395960.4,578993.4549241351
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,1,128,-1,pad_to_max_length,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.0079942909069359,0.005371362444591362,2626.8748,5585.175141217325
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,2,128,-1,pad_to_max_length,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.004636458819732,0.005736494925804386,4529.319,5229.674285085038
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,4,128,-1,pad_to_max_length,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.0092536469455808,0.005700315566112554,2269.3755,5262.866529415513
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,8,128,-1,pad_to_max_length,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.0095980921760201,0.006316459015943053,2187.9348,4749.496501802438
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,1,128,-1,do_not_pad,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.0091911158524453,0.005380709759955206,2284.8152,5575.47263063112
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,2,128,-1,do_not_pad,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.0090840649791061,0.005664782652941793,2311.7405,5295.878383687082
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,4,128,-1,do_not_pad,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.008211214095354,0.005838134977966497,2557.478,5138.627337877929
facebook/nllb-200-distilled-600M,615073792,wmt14,1,1,en,fr,32,8,128,-1,do_not_pad,51.424016050282646,60.68410610880495,89.55871677151848,88.76985186633549,0.9293241279069768,30.0,0.0087388611864298,0.005880808170574367,2403.059,5101.33966792356
