model_name,total_params,dataset_name,dataset_size,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
t5-large,737668096,wmt14,1,en,fr,32,1,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0142562829423695,0.013021184511384626,"tensor(1332.7458, device='cuda:0')",1459.1606457452472
t5-large,737668096,wmt14,1,en,fr,32,2,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0129445889033377,0.01453277926193545,"tensor(1467.7948, device='cuda:0')",1307.3892926843791
t5-large,737668096,wmt14,1,en,fr,32,4,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0175610580481588,0.014548508520238054,"tensor(1081.9395, device='cuda:0')",1305.9757963209488
t5-large,737668096,wmt14,1,en,fr,32,8,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0135000220034271,0.014549880066293841,"tensor(1407.4050, device='cuda:0')",1305.8526883678771
t5-large,737668096,wmt14,1,en,fr,32,16,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0152811799198389,0.01421930547803635,"tensor(1243.3595, device='cuda:0')",1336.2115350393226
t5-large,737668096,wmt14,1,en,fr,32,32,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0118278369773179,0.014148700547040104,"tensor(1606.3799, device='cuda:0')",1342.8795059186396
t5-large,737668096,wmt14,1,en,fr,32,64,64,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0140142960008233,0.014434058532620229,"tensor(1355.7584, device='cuda:0')",1316.331089905239
t5-large,737668096,wmt14,1,en,fr,32,1,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0157970739528536,0.013016790923613415,"tensor(1202.7545, device='cuda:0')",1459.6531596380337
t5-large,737668096,wmt14,1,en,fr,32,2,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0129632439929991,0.01361794802360232,"tensor(1465.6826, device='cuda:0')",1395.2175443076762
t5-large,737668096,wmt14,1,en,fr,32,4,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0124588320031762,0.014454766304697789,"tensor(1525.0225, device='cuda:0')",1314.4453254719872
t5-large,737668096,wmt14,1,en,fr,32,8,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0138219590298831,0.013785651398145282,"tensor(1374.6243, device='cuda:0')",1378.2446292350214
t5-large,737668096,wmt14,1,en,fr,32,16,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0096583010163158,0.013802999270741188,"tensor(1967.2197, device='cuda:0')",1376.5124251129332
t5-large,737668096,wmt14,1,en,fr,32,32,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0144677229691296,0.01363426722262212,"tensor(1313.2682, device='cuda:0')",1393.5475731673353
t5-large,737668096,wmt14,1,en,fr,32,64,128,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0124451748561114,0.0138365974506506,"tensor(1526.6960, device='cuda:0')",1373.1699623238383
t5-large,737668096,wmt14,1,en,fr,32,1,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0143425131682306,0.013189414944989852,"tensor(1324.7329, device='cuda:0')",1440.5491130004493
t5-large,737668096,wmt14,1,en,fr,32,2,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0148247659672051,0.01453175789210941,"tensor(1281.6390, device='cuda:0')",1307.4811830106803
t5-large,737668096,wmt14,1,en,fr,32,4,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0148661769926548,0.014433541346806994,"tensor(1278.0691, device='cuda:0')",1316.378256969015
t5-large,737668096,wmt14,1,en,fr,32,8,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0100611359812319,0.014730240080759559,"tensor(1888.4548, device='cuda:0')",1289.8635660947266
t5-large,737668096,wmt14,1,en,fr,32,16,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0144391059875488,0.014326479995030523,"tensor(1315.8708, device='cuda:0')",1326.2155118766507
t5-large,737668096,wmt14,1,en,fr,32,32,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0131079610437154,0.014233142431096494,"tensor(1449.5007, device='cuda:0')",1334.9125178772117
t5-large,737668096,wmt14,1,en,fr,32,64,256,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0141728559974581,0.01456048367365903,"tensor(1340.5908, device='cuda:0')",1304.901706965434
t5-large,737668096,wmt14,1,en,fr,32,1,512,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0134402741678059,0.012603858988241885,"tensor(1413.6616, device='cuda:0')",1507.4748152708676
t5-large,737668096,wmt14,1,en,fr,32,2,512,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0126621208619326,0.013594454166013695,"tensor(1500.5385, device='cuda:0')",1397.6287512521274
t5-large,737668096,wmt14,1,en,fr,32,4,512,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0123744399752467,0.014378472534008271,"tensor(1535.4230, device='cuda:0')",1321.4199182187672
t5-large,737668096,wmt14,1,en,fr,32,8,512,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139053880702704,0.013786362187767527,"tensor(1366.3767, device='cuda:0')",1378.1735704621535
t5-large,737668096,wmt14,1,en,fr,32,16,512,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139687289483845,0.01385927363298828,"tensor(1360.1810, device='cuda:0')",1370.9232174170802
t5-large,737668096,wmt14,1,en,fr,32,32,512,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0139835600275546,0.013611141025372113,"tensor(1358.7384, device='cuda:0')",1395.9152994288047
t5-large,737668096,wmt14,1,en,fr,32,64,512,128,pad_to_max_length,100.00000000000004,100.00000000000004,100.0,100.0,0.9990234375,19.0,0.0129863249603658,0.014406740504245303,"tensor(1463.0775, device='cuda:0')",1318.8271139055485
