,count,cpu_time_total,cuda_time_total,self_cpu_time_total,self_cuda_time_total,input_shapes,cpu_memory_usage,cuda_memory_usage,self_cpu_memory_usage,self_cuda_memory_usage,device_type,flops
model_inference,1,7757636,1520466,3547970,0,,236800,8583168,-170083,-243664952320,DeviceType.CPU,0
aten::empty,8015,16346,34,15728,0,,99316,952122368,99316,952122368,DeviceType.CPU,0
aten::random_,2,17,0,17,0,,0,0,0,0,DeviceType.CPU,0
aten::item,59545,818836,76094,146263,0,,0,-1273856,0,-1273856,DeviceType.CPU,0
aten::_local_scalar_dense,59545,795247,82260,80821,16446,,0,0,0,0,DeviceType.CPU,0
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,2,4780,0,4665,0,,236800,0,-7800,0,DeviceType.CPU,0
aten::to,10520,19973,1465,2231,0,,63200,18087936,63200,2951168,DeviceType.CPU,0
aten::lift_fresh,27428,0,0,0,0,,55954,0,55954,0,DeviceType.CPU,0
aten::detach_,4,5,0,3,0,,0,0,0,0,DeviceType.CPU,0
detach_,4,2,0,2,0,,0,0,0,0,DeviceType.CPU,0
aten::new_zeros,1,16,0,10,0,,68800,0,0,0,DeviceType.CPU,0
aten::new_empty,1,2,0,2,0,,68800,0,68800,0,DeviceType.CPU,0
aten::zero_,578,4463,1637,741,0,,0,0,0,0,DeviceType.CPU,0
aten::slice,26406,36342,0,34553,0,,0,0,0,0,DeviceType.CPU,0
aten::as_strided,285179,17555,0,17555,0,,0,0,0,0,DeviceType.CPU,0
aten::clone,689,10103,4815,2264,0,,68000,914589184,0,3584,DeviceType.CPU,0
aten::empty_like,274,1759,34,400,0,,68000,922545664,0,266240,DeviceType.CPU,0
aten::empty_strided,1346,3397,0,3397,0,,131200,26753024,131200,26753024,DeviceType.CPU,0
aten::copy_,49630,347234,154183,130756,91148,,-423,0,-423,0,DeviceType.CPU,0
aten::select,235804,198220,0,186486,0,,0,0,0,0,DeviceType.CPU,0
aten::fill_,24362,186846,46333,95208,25509,,-15484,0,-15484,0,DeviceType.CPU,0
aten::eq,2,58,2,37,2,,8608,6656,8608,6656,DeviceType.CPU,0
aten::masked_fill_,1,15,0,15,0,,0,0,0,0,DeviceType.CPU,0
aten::_to_copy,468,18470,1647,1740,0,,63200,18088448,0,0,DeviceType.CPU,0
cudaMemcpyAsync,85114,883838,94039,883838,94039,,0,0,0,0,DeviceType.CPU,0
cudaStreamSynchronize,40100,46419,41568,46419,41568,,0,0,0,0,DeviceType.CPU,0
Memcpy HtoD (Pageable -> Device),3991,0,411,0,411,,0,0,0,0,DeviceType.CUDA,0
cudaLaunchKernel,85441,332298,83075,332298,80996,,-24,186880,-24,188928,DeviceType.CPU,0
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, at::detail::Array<char*, 2>)",2,0,4,0,4,,0,0,0,0,DeviceType.CUDA,0
aten::any,1,35,5,26,5,,0,512,0,512,DeviceType.CPU,0
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4>)",1,0,5,0,5,,0,0,0,0,DeviceType.CUDA,0
Memcpy DtoH (Device -> Pageable),36109,0,16449,0,16449,,0,0,0,0,DeviceType.CUDA,0
aten::ne,1,16,2,11,2,,0,6656,0,6656,DeviceType.CPU,0
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",118,0,339,0,339,,0,0,0,0,DeviceType.CUDA,0
aten::view,4985,4384,0,4384,0,,0,0,0,0,DeviceType.CPU,0
aten::embedding,232,6303,1228,1116,0,,0,123495424,0,0,DeviceType.CPU,0
aten::reshape,11577,24952,2774,21736,0,,0,838041600,0,0,DeviceType.CPU,0
